Activity ID,Activity Name,Activity Type,Start Time,Duration (minutes),Distance (km),Calories,Average Heart Rate,Max Heart Rate,Average Speed (km/h),Max Speed (km/h),Elevation Gain (m),Average Cadence,Max Cadence,Average Power,Max Power,Training Effect,Average Temperature,Weather,Location Name
19288471257,Copenhagen - Run Off The Bike Faster At First,running,2025-05-31 12:36:08,40.16,8.71,636.0,168.0,182.0,13.01,14.91,75.98808097839355,,,,,3.5,,,Copenhagen
19288468866,Copenhagen - Race Practice Ride,cycling,2025-05-31 08:22:03,197.11,87.38,1902.0,140.0,177.0,26.6,50.72,373.5986499786377,,,,,3.5,,,Copenhagen
19280649107,Copenhagen Open Water Swimming,open_water_swimming,2025-05-30 16:02:56,14.28,0.55,106.0,110.0,127.0,2.33,7.1,,,,,,0.5,,,Copenhagen
19267117010,Copenhagen - Aerobic Endurance Run,running,2025-05-29 08:29:36,134.21,25.32,1784.0,144.0,164.0,11.32,20.09,45.177953258156776,,,,,3.700000047683716,,,Copenhagen
19260723943,Pool Swim: Threshold Efforts,lap_swimming,2025-05-28 16:10:42,62.2,2.4,480.0,137.0,162.0,2.52,3.11,,,,,,2.4000000953674316,,,
19250957777,Copenhagen - IRONMAN 70.3 Sustaining Pace,running,2025-05-27 16:48:57,67.77,14.46,936.0,150.0,171.0,12.8,20.66,50.89999997615814,,,,,3.799999952316284,,,Copenhagen
19246029252,Copenhagen - IRONMAN 70.3 Power Ups,cycling,2025-05-27 05:47:11,65.9,30.45,799.0,144.0,169.0,27.72,39.1,26.001547068357468,,,,,3.0999999046325684,,,Copenhagen
19241354688,Pool Swim: Aerobic Endurance,lap_swimming,2025-05-26 16:52:34,67.91,2.6,520.0,129.0,145.0,2.47,3.07,,,,,,2.0999999046325684,,,
19236304895,Copenhagen Running,running,2025-05-26 06:25:21,50.09,10.2,738.0,150.0,167.0,12.22,13.37,35.2492071390152,,,,,3.299999952316284,,,Copenhagen
19220654092,Copenhagen - Run Off The Bike Faster At First,running,2025-05-24 14:39:36,31.01,6.56,445.0,172.0,188.0,12.69,15.02,6.200000002980232,,,,,3.299999952316284,,,Copenhagen
19220259191,Copenhagen - Race Practice Ride,cycling,2025-05-24 11:00:04,197.48,90.84,1887.0,143.0,173.0,27.6,46.19,539.0099999997765,,,,,3.799999952316284,,,Copenhagen
19213068097,Copenhagen - Aerobic Endurance Run,running,2025-05-23 16:51:19,110.86,21.21,1431.0,144.0,172.0,11.48,13.94,44.25,,,,,3.9000000953674316,,,Copenhagen
19198910801,Strength,strength_training,2025-05-22 07:21:17,41.31,,251.0,104.0,129.0,,,,,,,,0.6000000238418579,,,
19193361218,Copenhagen - IRONMAN 70.3 Sustaining Pace,running,2025-05-21 16:31:00,61.83,13.34,957.0,155.0,175.0,12.95,14.85,61.65403171442449,,,,,3.9000000953674316,,,Copenhagen
19188898253,Pool Swim: Threshold Efforts,lap_swimming,2025-05-21 06:44:57,62.51,2.4,478.0,140.0,169.0,2.63,3.87,,,,,,2.5999999046325684,,,
19183619360,Copenhagen - Stride Repeats,running,2025-05-20 18:03:41,37.36,7.52,539.0,147.0,158.0,12.07,15.96,56.905014872550964,,,,,3.0,,,Copenhagen
19178030819,Copenhagen - IRONMAN 70.3 Power Ups,cycling,2025-05-20 06:19:45,64.44,29.7,824.0,147.0,174.0,27.65,38.7,31.565784141421318,,,,,3.200000047683716,,,Copenhagen
19172179893,Pool Swim: Aerobic Endurance,lap_swimming,2025-05-19 15:56:00,69.18,2.6,519.0,137.0,186.0,2.45,3.23,,,,,,2.5,,,
19158607086,Copenhagen - Aerobic Endurance Run,running,2025-05-18 07:50:51,121.71,23.06,1646.0,141.0,163.0,11.37,13.67,180.24450993537903,,,,,3.9000000953674316,,,Copenhagen
19150974992,Copenhagen - Run Off The Bike Faster At First,running,2025-05-17 13:12:01,20.55,4.31,324.0,174.0,186.0,12.57,13.37,8.903218269348145,,,,,3.0,,,Copenhagen
19150973407,Copenhagen - Race Practice Ride,cycling,2025-05-17 08:23:22,247.73,111.76,2469.0,143.0,179.0,27.07,54.08,501.11704659461975,,,,,3.799999952316284,,,Copenhagen
19129377189,Pool Swim: Threshold Efforts,lap_swimming,2025-05-15 06:47:53,62.66,2.4,489.0,145.0,166.0,2.5,7.13,,,,,,3.0,,,
19118708068,Copenhagen - IRONMAN 70.3 Sustaining Pace,running,2025-05-14 06:34:29,61.33,12.71,930.0,152.0,171.0,12.43,14.54,132.16643714904785,,,,,3.9000000953674316,,,Copenhagen
19112000847,Copenhagen Running,running,2025-05-13 15:46:20,40.12,7.51,527.0,142.0,152.0,11.24,12.33,16.906363248825073,,,,,2.700000047683716,,,Copenhagen
19107795587,Copenhagen - IRONMAN 70.3 Power Ups,cycling,2025-05-13 06:33:40,61.02,29.32,612.0,134.0,161.0,28.83,40.61,31.553760528564453,,,,,2.5,,,Copenhagen
19102016728,Pool Swim: Aerobic Endurance,lap_swimming,2025-05-12 16:15:42,70.39,2.6,497.0,136.0,162.0,2.55,4.53,,,,,,2.700000047683716,,,
19097830023,Strength,strength_training,2025-05-12 07:13:30,50.37,,299.0,112.0,149.0,,,,,,,,1.100000023841858,,,
19077417795,Copenhagen - Aerobic Endurance Run,running,2025-05-10 07:08:11,80.71,15.01,1066.0,140.0,163.0,11.16,14.18,106.82834419608116,,,,,3.4000000953674316,,,Copenhagen
19072835360,Copenhagen - Aerobic Endurance Ride,cycling,2025-05-09 16:52:13,56.83,26.58,550.0,132.0,156.0,28.07,42.59,18.188454627990723,,,,,2.299999952316284,,,Copenhagen
19063936761,Cardio,indoor_cardio,2025-05-08 17:13:48,76.81,,583.0,121.0,151.0,,,,,,,,2.0,,,
19062603696,Fitness Test: Critical Swim Spee,lap_swimming,2025-05-08 15:44:10,52.23,1.98,398.0,138.0,158.0,2.66,3.41,,,,,,2.5999999046325684,,,
